price;area;loc;bedrooms
1675000;2716;1;5
650000;814;2;2
735000;761;3;2
1765000;1986;4;4
675000;700;5;2
420000;403;6;1
1475000;1548;7;4
650000;560;8;1
2500000;1308;9;3
925000;646;10;2
2400000;3392;11;6
2500000;2974;12;6
2795000;5294;13;5
725000;778;14;2
750000;647;15;2
12500000;4596;16;6
1450000;1702;17;3
1250000;3503;18;6
2275000;1173;19;3
1075000;865;20;2
500000;597;21;1
5500000;3016;22;4
8950000;3154;23;4
1175000;765;24;2
550000;479;25;1
1300000;1101;26;3
800000;1177;27;3
3500000;2331;28;4
374950;664;29;2
400000;805;30;2
1100000;582;31;2
1200000;1494;32;4
1250000;1507;33;4
695000;945;34;3
1735000;2118;35;4
2350000;2297;36;5
1200000;1351;37;4
975000;749;38;2
850000;1177;39;3
1599950;1884;40;4
925000;1321;41;2
650000;869;42;3
550000;670;43;1
9975000;10100;44;10
1850000;1910;45;5
525000;590;46;1
2200000;2239;47;4
3450000;5599;48;6
1999999;1608;49;3
725000;884;50;3
1750000;1232;51;2
5250000;2299;52;3
1250000;1307;53;3
490000;570;54;1
3350000;2185;55;3
1000000;1228;56;3
2350000;2511;57;4
2095000;1528;58;3
1250000;811;59;2
735000;969;60;2
875000;1132;61;4
1250000;2498;62;6
595000;643;63;2
1675000;5022;64;3
2595000;4858;65;6
820000;974;66;3
830000;850;67;2
500000;458;68;1
2500000;5999;69;7
7500000;3851;70;6
749950;1382;71;3
480000;448;72;1
3500000;1763;73;4
2100000;1208;74;3
650000;1023;75;2
1050000;1693;76;4
1300000;1890;77;5
625000;1348;78;4
625000;540;79;1
1100000;791;80;2
5950000;2646;81;4
1325000;1375;82;4
1250000;1068;83;2
2300000;1119;84;3
1500000;1811;85;4
1350000;1603;86;5
799995;942;87;3
795000;495;88;1
525000;829;89;2
2595000;2120;90;5
820000;631;91;2
1200000;2108;92;4
680000;705;93;2
2300000;1956;94;3
2300000;2083;95;5
4000000;3714;96;5
500000;516;97;2
1275000;1185;98;3
4500000;2972;99;3
1750000;2125;100;4
2600000;2350;101;4
3450000;2354;102;4
2350000;2183;103;5
2375000;1218;104;2
1995000;1841;105;5
1000000;1154;106;4
1795000;2314;107;5
687500;1178;108;3
2450000;1483;109;3
3500000;1770;110;2
1225000;2487;111;5
850000;773;112;2
780000;654;113;2
399950;697;29;2
1499950;2982;114;5
900000;1081;115;3
2500000;3986;11;6
575000;773;116;2
1250000;1708;117;5
1575000;1580;118;3
4750000;6602;119;6
1175000;1909;120;4
695000;1337;121;3
1200000;1771;122;4
1700000;2374;123;5
1000000;2125;124;2
1635000;903;125;2
625000;902;126;2
1850000;3753;127;6
2400000;1736;128;4
1200000;590;129;1
785000;1173;54;2
1250000;1298;130;2
2300000;1912;131;3
1800000;3877;132;4
1300000;1465;133;3
1750000;1580;134;4
1495000;2300;135;4
1855000;2917;136;5
1625000;1953;137;4
3150000;1449;138;3
5250000;4745;139;7
6000000;4798;140;6
1395000;1902;141;5
1385000;2056;142;3
800000;922;143;2
3695000;2316;144;4
2200000;1195;145;2
1175000;687;145;2
9500000;4815;146;5
3100000;2470;147;4
5500000;3674;148;4
925000;1012;149;3
550000;414;150;1
260000;381;151;0
550000;547;152;1
2400000;2202;153;5
580000;460;154;1
2300000;2785;155;5
1200000;1270;156;3
1500000;1934;157;5
