price;lat;lng;bedrooms;area
1480000;-37.7996;144.9984;2;202.0
1035000;-37.8079;144.9934;2;79.0
1465000;-37.8093;144.9944;3;150.0
850000;-37.7969;144.9969;3;94.0
1600000;-37.8072;144.9941;3;142.0
941000;-37.8041;144.9953;2;181.0
1876000;-37.8024;144.9993;4;210.0
1636000;-37.806;144.9954;2;107.0
300000;-37.8008;144.9973;1;0.0
1097000;-37.801;144.9989;3;75.0
700000;-37.811;145.0067;2;0.0
1350000;-37.8085;144.9964;3;190.0
750000;-37.8078;144.9965;2;94.0
1172500;-37.8084;144.9973;2;195.0
441000;-37.8016;144.9988;1;0.0
1310000;-37.809;144.9976;2;97.0
1200000;-37.8056;144.993;3;110.0
1176500;-37.8021;144.9965;2;105.0
955000;-37.8022;144.9975;3;183.0
890000;-37.8011;145.0004;2;73.0
1330000;-37.8073;144.9952;4;135.0
900000;-37.8093;144.9959;3;0.0
1090000;-37.8078;144.9965;3;27.0
500000;-37.8015;144.9972;2;60.0
1100000;-37.8079;144.9977;2;135.0
1315000;-37.808;144.994;2;85.0
426000;-37.8016;144.9988;1;0.0
1447500;-37.8017;145.0001;3;174.0
457000;-37.8078;144.9965;1;50.0
1135000;-37.8005;144.9952;2;128.0
1542000;-37.7994;144.9965;4;0.0
1290000;-37.805;144.9943;3;18.0
1290000;-37.8007;144.9958;3;124.0
470000;-37.8055;144.9961;1;50.0
1180000;-37.8016;144.9956;2;91.0
1195000;-37.8022;144.9954;3;128.0
1012500;-37.8021;144.9976;2;82.0
1030000;-37.8086;144.9946;2;81.0
840000;-37.718;144.878;3;225.0
730000;-37.7203;144.8755;3;145.0
770000;-37.7203;144.8755;3;145.0
603000;-37.7294;144.888;2;84.0
700000;-37.7218;144.8837;3;134.0
600000;-37.7273;144.8744;2;116.0
500000;-37.7215;144.8864;2;86.0
720000;-37.7173;144.8872;2;620.0
785000;-37.7259;144.8792;3;127.0
725000;-37.7239;144.8735;6;186.0
450000;-37.7216;144.871;2;90.0
515000;-37.7298;144.8883;2;73.0
530000;-37.7234;144.8792;2;94.0
895000;-37.7249;144.8728;3;133.0
805000;-37.7217;144.8783;3;105.0
752000;-37.7302;144.8855;3;130.0
440000;-37.7177;144.8787;2;192.0
755000;-37.7248;144.8699;3;596.0
700000;-37.727;144.887;3;133.0
830000;-37.7186;144.876;3;113.0
462500;-37.7218;144.8863;2;164.0
670000;-37.7269;144.8742;3;657.0
675000;-37.7187;144.8765;2;100.0
1042000;-37.7173;144.8796;3;174.0
910000;-37.7231;144.8835;3;775.0
773000;-37.7263;144.8679;5;309.0
810000;-37.7285;144.8694;3;192.0
715000;-37.7164;144.8792;3;126.0
790000;-37.7194;144.8827;3;614.0
540000;-37.7231;144.8802;2;101.0
825000;-37.72;144.8776;3;102.0
685000;-37.7226;144.8733;3;113.0
805000;-37.7184;144.882;3;623.0
510000;-37.7202;144.8797;2;76.0
612000;-37.7181;144.8824;3;212.0
662000;-37.7169;144.8815;3;612.0
978000;-37.7263;144.869;4;532.0
720000;-37.72;144.878;3;585.0
765000;-37.7261;144.8785;4;509.0
900000;-37.7256;144.8739;4;146.0
1275000;-37.8459;144.9555;2;82.0
1455000;-37.845;144.9538;2;159.0
2850000;-37.8481;144.9499;3;198.0
1850000;-37.8452;144.9488;3;133.0
1436000;-37.8431;144.9565;2;81.0
1110000;-37.8444;144.9484;1;147.0
1550000;-37.8405;144.9521;2;167.0
2300000;-37.8447;144.9523;4;180.0
1550000;-37.8443;144.9598;3;718.0
1800000;-37.8415;144.952;3;159.0
